date,year,month,month_name,day,weekday,quarter,is_weekend
2023-03-27,2023,2023-03,March,27,Monday,Q1,False
2023-03-28,2023,2023-03,March,28,Tuesday,Q1,False
2023-03-29,2023,2023-03,March,29,Wednesday,Q1,False
2023-03-30,2023,2023-03,March,30,Thursday,Q1,False
2023-03-31,2023,2023-03,March,31,Friday,Q1,False
2023-04-01,2023,2023-04,April,1,Saturday,Q2,True
2023-04-02,2023,2023-04,April,2,Sunday,Q2,True
2023-04-03,2023,2023-04,April,3,Monday,Q2,False
2023-04-04,2023,2023-04,April,4,Tuesday,Q2,False
2023-04-05,2023,2023-04,April,5,Wednesday,Q2,False
2023-04-06,2023,2023-04,April,6,Thursday,Q2,False
2023-04-07,2023,2023-04,April,7,Friday,Q2,False
2023-04-08,2023,2023-04,April,8,Saturday,Q2,True
2023-04-09,2023,2023-04,April,9,Sunday,Q2,True
2023-04-10,2023,2023-04,April,10,Monday,Q2,False
2023-04-11,2023,2023-04,April,11,Tuesday,Q2,False
2023-04-12,2023,2023-04,April,12,Wednesday,Q2,False
2023-04-13,2023,2023-04,April,13,Thursday,Q2,False
2023-04-14,2023,2023-04,April,14,Friday,Q2,False
2023-04-15,2023,2023-04,April,15,Saturday,Q2,True
2023-04-16,2023,2023-04,April,16,Sunday,Q2,True
2023-04-17,2023,2023-04,April,17,Monday,Q2,False
2023-04-18,2023,2023-04,April,18,Tuesday,Q2,False
2023-04-19,2023,2023-04,April,19,Wednesday,Q2,False
2023-04-20,2023,2023-04,April,20,Thursday,Q2,False
2023-04-21,2023,2023-04,April,21,Friday,Q2,False
2023-04-22,2023,2023-04,April,22,Saturday,Q2,True
2023-04-23,2023,2023-04,April,23,Sunday,Q2,True
2023-04-24,2023,2023-04,April,24,Monday,Q2,False
2023-04-25,2023,2023-04,April,25,Tuesday,Q2,False
2023-04-26,2023,2023-04,April,26,Wednesday,Q2,False
2023-04-27,2023,2023-04,April,27,Thursday,Q2,False
2023-04-28,2023,2023-04,April,28,Friday,Q2,False
2023-04-29,2023,2023-04,April,29,Saturday,Q2,True
2023-04-30,2023,2023-04,April,30,Sunday,Q2,True
2023-05-01,2023,2023-05,May,1,Monday,Q2,False
2023-05-02,2023,2023-05,May,2,Tuesday,Q2,False
2023-05-03,2023,2023-05,May,3,Wednesday,Q2,False
2023-05-04,2023,2023-05,May,4,Thursday,Q2,False
2023-05-05,2023,2023-05,May,5,Friday,Q2,False
2023-05-06,2023,2023-05,May,6,Saturday,Q2,True
2023-05-07,2023,2023-05,May,7,Sunday,Q2,True
2023-05-08,2023,2023-05,May,8,Monday,Q2,False
2023-05-09,2023,2023-05,May,9,Tuesday,Q2,False
2023-05-10,2023,2023-05,May,10,Wednesday,Q2,False
2023-05-11,2023,2023-05,May,11,Thursday,Q2,False
2023-05-12,2023,2023-05,May,12,Friday,Q2,False
2023-05-13,2023,2023-05,May,13,Saturday,Q2,True
2023-05-14,2023,2023-05,May,14,Sunday,Q2,True
2023-05-15,2023,2023-05,May,15,Monday,Q2,False
2023-05-16,2023,2023-05,May,16,Tuesday,Q2,False
2023-05-17,2023,2023-05,May,17,Wednesday,Q2,False
2023-05-18,2023,2023-05,May,18,Thursday,Q2,False
2023-05-19,2023,2023-05,May,19,Friday,Q2,False
2023-05-20,2023,2023-05,May,20,Saturday,Q2,True
2023-05-21,2023,2023-05,May,21,Sunday,Q2,True
2023-05-22,2023,2023-05,May,22,Monday,Q2,False
2023-05-23,2023,2023-05,May,23,Tuesday,Q2,False
2023-05-24,2023,2023-05,May,24,Wednesday,Q2,False
2023-05-25,2023,2023-05,May,25,Thursday,Q2,False
2023-05-26,2023,2023-05,May,26,Friday,Q2,False
2023-05-27,2023,2023-05,May,27,Saturday,Q2,True
2023-05-28,2023,2023-05,May,28,Sunday,Q2,True
2023-05-29,2023,2023-05,May,29,Monday,Q2,False
2023-05-30,2023,2023-05,May,30,Tuesday,Q2,False
2023-05-31,2023,2023-05,May,31,Wednesday,Q2,False
2023-06-01,2023,2023-06,June,1,Thursday,Q2,False
2023-06-02,2023,2023-06,June,2,Friday,Q2,False
2023-06-03,2023,2023-06,June,3,Saturday,Q2,True
2023-06-04,2023,2023-06,June,4,Sunday,Q2,True
2023-06-05,2023,2023-06,June,5,Monday,Q2,False
2023-06-06,2023,2023-06,June,6,Tuesday,Q2,False
2023-06-07,2023,2023-06,June,7,Wednesday,Q2,False
2023-06-08,2023,2023-06,June,8,Thursday,Q2,False
2023-06-09,2023,2023-06,June,9,Friday,Q2,False
2023-06-10,2023,2023-06,June,10,Saturday,Q2,True
2023-06-11,2023,2023-06,June,11,Sunday,Q2,True
2023-06-12,2023,2023-06,June,12,Monday,Q2,False
2023-06-13,2023,2023-06,June,13,Tuesday,Q2,False
2023-06-14,2023,2023-06,June,14,Wednesday,Q2,False
2023-06-15,2023,2023-06,June,15,Thursday,Q2,False
2023-06-16,2023,2023-06,June,16,Friday,Q2,False
2023-06-17,2023,2023-06,June,17,Saturday,Q2,True
2023-06-18,2023,2023-06,June,18,Sunday,Q2,True
2023-06-19,2023,2023-06,June,19,Monday,Q2,False
2023-06-20,2023,2023-06,June,20,Tuesday,Q2,False
2023-06-21,2023,2023-06,June,21,Wednesday,Q2,False
2023-06-22,2023,2023-06,June,22,Thursday,Q2,False
2023-06-23,2023,2023-06,June,23,Friday,Q2,False
2023-06-24,2023,2023-06,June,24,Saturday,Q2,True
2023-06-25,2023,2023-06,June,25,Sunday,Q2,True
2023-06-26,2023,2023-06,June,26,Monday,Q2,False
2023-06-27,2023,2023-06,June,27,Tuesday,Q2,False
2023-06-28,2023,2023-06,June,28,Wednesday,Q2,False
2023-06-29,2023,2023-06,June,29,Thursday,Q2,False
2023-06-30,2023,2023-06,June,30,Friday,Q2,False
2023-07-01,2023,2023-07,July,1,Saturday,Q3,True
2023-07-02,2023,2023-07,July,2,Sunday,Q3,True
2023-07-03,2023,2023-07,July,3,Monday,Q3,False
2023-07-04,2023,2023-07,July,4,Tuesday,Q3,False
2023-07-05,2023,2023-07,July,5,Wednesday,Q3,False
2023-07-06,2023,2023-07,July,6,Thursday,Q3,False
2023-07-07,2023,2023-07,July,7,Friday,Q3,False
2023-07-08,2023,2023-07,July,8,Saturday,Q3,True
2023-07-09,2023,2023-07,July,9,Sunday,Q3,True
2023-07-10,2023,2023-07,July,10,Monday,Q3,False
2023-07-11,2023,2023-07,July,11,Tuesday,Q3,False
2023-07-12,2023,2023-07,July,12,Wednesday,Q3,False
2023-07-13,2023,2023-07,July,13,Thursday,Q3,False
2023-07-14,2023,2023-07,July,14,Friday,Q3,False
2023-07-15,2023,2023-07,July,15,Saturday,Q3,True
2023-07-16,2023,2023-07,July,16,Sunday,Q3,True
2023-07-17,2023,2023-07,July,17,Monday,Q3,False
2023-07-18,2023,2023-07,July,18,Tuesday,Q3,False
2023-07-19,2023,2023-07,July,19,Wednesday,Q3,False
2023-07-20,2023,2023-07,July,20,Thursday,Q3,False
2023-07-21,2023,2023-07,July,21,Friday,Q3,False
2023-07-22,2023,2023-07,July,22,Saturday,Q3,True
2023-07-23,2023,2023-07,July,23,Sunday,Q3,True
2023-07-24,2023,2023-07,July,24,Monday,Q3,False
2023-07-25,2023,2023-07,July,25,Tuesday,Q3,False
2023-07-26,2023,2023-07,July,26,Wednesday,Q3,False
2023-07-27,2023,2023-07,July,27,Thursday,Q3,False
2023-07-28,2023,2023-07,July,28,Friday,Q3,False
2023-07-29,2023,2023-07,July,29,Saturday,Q3,True
2023-07-30,2023,2023-07,July,30,Sunday,Q3,True
2023-07-31,2023,2023-07,July,31,Monday,Q3,False
2023-08-01,2023,2023-08,August,1,Tuesday,Q3,False
2023-08-02,2023,2023-08,August,2,Wednesday,Q3,False
2023-08-03,2023,2023-08,August,3,Thursday,Q3,False
2023-08-04,2023,2023-08,August,4,Friday,Q3,False
2023-08-05,2023,2023-08,August,5,Saturday,Q3,True
2023-08-06,2023,2023-08,August,6,Sunday,Q3,True
2023-08-07,2023,2023-08,August,7,Monday,Q3,False
2023-08-08,2023,2023-08,August,8,Tuesday,Q3,False
2023-08-09,2023,2023-08,August,9,Wednesday,Q3,False
2023-08-10,2023,2023-08,August,10,Thursday,Q3,False
2023-08-11,2023,2023-08,August,11,Friday,Q3,False
2023-08-12,2023,2023-08,August,12,Saturday,Q3,True
2023-08-13,2023,2023-08,August,13,Sunday,Q3,True
2023-08-14,2023,2023-08,August,14,Monday,Q3,False
2023-08-15,2023,2023-08,August,15,Tuesday,Q3,False
2023-08-16,2023,2023-08,August,16,Wednesday,Q3,False
2023-08-17,2023,2023-08,August,17,Thursday,Q3,False
2023-08-18,2023,2023-08,August,18,Friday,Q3,False
2023-08-19,2023,2023-08,August,19,Saturday,Q3,True
2023-08-20,2023,2023-08,August,20,Sunday,Q3,True
2023-08-21,2023,2023-08,August,21,Monday,Q3,False
2023-08-22,2023,2023-08,August,22,Tuesday,Q3,False
2023-08-23,2023,2023-08,August,23,Wednesday,Q3,False
2023-08-24,2023,2023-08,August,24,Thursday,Q3,False
2023-08-25,2023,2023-08,August,25,Friday,Q3,False
2023-08-26,2023,2023-08,August,26,Saturday,Q3,True
2023-08-27,2023,2023-08,August,27,Sunday,Q3,True
2023-08-28,2023,2023-08,August,28,Monday,Q3,False
2023-08-29,2023,2023-08,August,29,Tuesday,Q3,False
2023-08-30,2023,2023-08,August,30,Wednesday,Q3,False
2023-08-31,2023,2023-08,August,31,Thursday,Q3,False
2023-09-01,2023,2023-09,September,1,Friday,Q3,False
2023-09-02,2023,2023-09,September,2,Saturday,Q3,True
2023-09-03,2023,2023-09,September,3,Sunday,Q3,True
2023-09-04,2023,2023-09,September,4,Monday,Q3,False
2023-09-05,2023,2023-09,September,5,Tuesday,Q3,False
2023-09-06,2023,2023-09,September,6,Wednesday,Q3,False
2023-09-07,2023,2023-09,September,7,Thursday,Q3,False
2023-09-08,2023,2023-09,September,8,Friday,Q3,False
2023-09-09,2023,2023-09,September,9,Saturday,Q3,True
2023-09-10,2023,2023-09,September,10,Sunday,Q3,True
2023-09-11,2023,2023-09,September,11,Monday,Q3,False
2023-09-12,2023,2023-09,September,12,Tuesday,Q3,False
2023-09-13,2023,2023-09,September,13,Wednesday,Q3,False
2023-09-14,2023,2023-09,September,14,Thursday,Q3,False
2023-09-15,2023,2023-09,September,15,Friday,Q3,False
2023-09-16,2023,2023-09,September,16,Saturday,Q3,True
2023-09-17,2023,2023-09,September,17,Sunday,Q3,True
2023-09-18,2023,2023-09,September,18,Monday,Q3,False
2023-09-19,2023,2023-09,September,19,Tuesday,Q3,False
2023-09-20,2023,2023-09,September,20,Wednesday,Q3,False
2023-09-21,2023,2023-09,September,21,Thursday,Q3,False
2023-09-22,2023,2023-09,September,22,Friday,Q3,False
2023-09-23,2023,2023-09,September,23,Saturday,Q3,True
2023-09-24,2023,2023-09,September,24,Sunday,Q3,True
2023-09-25,2023,2023-09,September,25,Monday,Q3,False
2023-09-26,2023,2023-09,September,26,Tuesday,Q3,False
2023-09-27,2023,2023-09,September,27,Wednesday,Q3,False
2023-09-28,2023,2023-09,September,28,Thursday,Q3,False
2023-09-29,2023,2023-09,September,29,Friday,Q3,False
2023-09-30,2023,2023-09,September,30,Saturday,Q3,True
2023-10-01,2023,2023-10,October,1,Sunday,Q4,True
2023-10-02,2023,2023-10,October,2,Monday,Q4,False
2023-10-03,2023,2023-10,October,3,Tuesday,Q4,False
2023-10-04,2023,2023-10,October,4,Wednesday,Q4,False
2023-10-05,2023,2023-10,October,5,Thursday,Q4,False
2023-10-06,2023,2023-10,October,6,Friday,Q4,False
2023-10-07,2023,2023-10,October,7,Saturday,Q4,True
2023-10-08,2023,2023-10,October,8,Sunday,Q4,True
2023-10-09,2023,2023-10,October,9,Monday,Q4,False
2023-10-10,2023,2023-10,October,10,Tuesday,Q4,False
2023-10-11,2023,2023-10,October,11,Wednesday,Q4,False
2023-10-12,2023,2023-10,October,12,Thursday,Q4,False
2023-10-13,2023,2023-10,October,13,Friday,Q4,False
2023-10-14,2023,2023-10,October,14,Saturday,Q4,True
2023-10-15,2023,2023-10,October,15,Sunday,Q4,True
2023-10-16,2023,2023-10,October,16,Monday,Q4,False
2023-10-17,2023,2023-10,October,17,Tuesday,Q4,False
2023-10-18,2023,2023-10,October,18,Wednesday,Q4,False
2023-10-19,2023,2023-10,October,19,Thursday,Q4,False
2023-10-20,2023,2023-10,October,20,Friday,Q4,False
2023-10-21,2023,2023-10,October,21,Saturday,Q4,True
2023-10-22,2023,2023-10,October,22,Sunday,Q4,True
2023-10-23,2023,2023-10,October,23,Monday,Q4,False
2023-10-24,2023,2023-10,October,24,Tuesday,Q4,False
2023-10-25,2023,2023-10,October,25,Wednesday,Q4,False
2023-10-26,2023,2023-10,October,26,Thursday,Q4,False
2023-10-27,2023,2023-10,October,27,Friday,Q4,False
2023-10-28,2023,2023-10,October,28,Saturday,Q4,True
2023-10-29,2023,2023-10,October,29,Sunday,Q4,True
2023-10-30,2023,2023-10,October,30,Monday,Q4,False
2023-10-31,2023,2023-10,October,31,Tuesday,Q4,False
2023-11-01,2023,2023-11,November,1,Wednesday,Q4,False
2023-11-02,2023,2023-11,November,2,Thursday,Q4,False
2023-11-03,2023,2023-11,November,3,Friday,Q4,False
2023-11-04,2023,2023-11,November,4,Saturday,Q4,True
2023-11-05,2023,2023-11,November,5,Sunday,Q4,True
2023-11-06,2023,2023-11,November,6,Monday,Q4,False
2023-11-07,2023,2023-11,November,7,Tuesday,Q4,False
2023-11-08,2023,2023-11,November,8,Wednesday,Q4,False
2023-11-09,2023,2023-11,November,9,Thursday,Q4,False
2023-11-10,2023,2023-11,November,10,Friday,Q4,False
2023-11-11,2023,2023-11,November,11,Saturday,Q4,True
2023-11-12,2023,2023-11,November,12,Sunday,Q4,True
2023-11-13,2023,2023-11,November,13,Monday,Q4,False
2023-11-14,2023,2023-11,November,14,Tuesday,Q4,False
2023-11-15,2023,2023-11,November,15,Wednesday,Q4,False
2023-11-16,2023,2023-11,November,16,Thursday,Q4,False
2023-11-17,2023,2023-11,November,17,Friday,Q4,False
2023-11-18,2023,2023-11,November,18,Saturday,Q4,True
2023-11-19,2023,2023-11,November,19,Sunday,Q4,True
2023-11-20,2023,2023-11,November,20,Monday,Q4,False
2023-11-21,2023,2023-11,November,21,Tuesday,Q4,False
2023-11-22,2023,2023-11,November,22,Wednesday,Q4,False
2023-11-23,2023,2023-11,November,23,Thursday,Q4,False
2023-11-24,2023,2023-11,November,24,Friday,Q4,False
2023-11-25,2023,2023-11,November,25,Saturday,Q4,True
2023-11-26,2023,2023-11,November,26,Sunday,Q4,True
2023-11-27,2023,2023-11,November,27,Monday,Q4,False
2023-11-28,2023,2023-11,November,28,Tuesday,Q4,False
2023-11-29,2023,2023-11,November,29,Wednesday,Q4,False
2023-11-30,2023,2023-11,November,30,Thursday,Q4,False
2023-12-01,2023,2023-12,December,1,Friday,Q4,False
2023-12-02,2023,2023-12,December,2,Saturday,Q4,True
2023-12-03,2023,2023-12,December,3,Sunday,Q4,True
2023-12-04,2023,2023-12,December,4,Monday,Q4,False
2023-12-05,2023,2023-12,December,5,Tuesday,Q4,False
2023-12-06,2023,2023-12,December,6,Wednesday,Q4,False
2023-12-07,2023,2023-12,December,7,Thursday,Q4,False
2023-12-08,2023,2023-12,December,8,Friday,Q4,False
2023-12-09,2023,2023-12,December,9,Saturday,Q4,True
2023-12-10,2023,2023-12,December,10,Sunday,Q4,True
2023-12-11,2023,2023-12,December,11,Monday,Q4,False
2023-12-12,2023,2023-12,December,12,Tuesday,Q4,False
2023-12-13,2023,2023-12,December,13,Wednesday,Q4,False
2023-12-14,2023,2023-12,December,14,Thursday,Q4,False
2023-12-15,2023,2023-12,December,15,Friday,Q4,False
2023-12-16,2023,2023-12,December,16,Saturday,Q4,True
2023-12-17,2023,2023-12,December,17,Sunday,Q4,True
2023-12-18,2023,2023-12,December,18,Monday,Q4,False
2023-12-19,2023,2023-12,December,19,Tuesday,Q4,False
2023-12-20,2023,2023-12,December,20,Wednesday,Q4,False
2023-12-21,2023,2023-12,December,21,Thursday,Q4,False
2023-12-22,2023,2023-12,December,22,Friday,Q4,False
2023-12-23,2023,2023-12,December,23,Saturday,Q4,True
2023-12-24,2023,2023-12,December,24,Sunday,Q4,True
2023-12-25,2023,2023-12,December,25,Monday,Q4,False
2023-12-26,2023,2023-12,December,26,Tuesday,Q4,False
2023-12-27,2023,2023-12,December,27,Wednesday,Q4,False
2023-12-28,2023,2023-12,December,28,Thursday,Q4,False
2023-12-29,2023,2023-12,December,29,Friday,Q4,False
2023-12-30,2023,2023-12,December,30,Saturday,Q4,True
2023-12-31,2023,2023-12,December,31,Sunday,Q4,True
2024-01-01,2024,2024-01,January,1,Monday,Q1,False
2024-01-02,2024,2024-01,January,2,Tuesday,Q1,False
2024-01-03,2024,2024-01,January,3,Wednesday,Q1,False
2024-01-04,2024,2024-01,January,4,Thursday,Q1,False
2024-01-05,2024,2024-01,January,5,Friday,Q1,False
2024-01-06,2024,2024-01,January,6,Saturday,Q1,True
2024-01-07,2024,2024-01,January,7,Sunday,Q1,True
2024-01-08,2024,2024-01,January,8,Monday,Q1,False
2024-01-09,2024,2024-01,January,9,Tuesday,Q1,False
2024-01-10,2024,2024-01,January,10,Wednesday,Q1,False
2024-01-11,2024,2024-01,January,11,Thursday,Q1,False
2024-01-12,2024,2024-01,January,12,Friday,Q1,False
2024-01-13,2024,2024-01,January,13,Saturday,Q1,True
2024-01-14,2024,2024-01,January,14,Sunday,Q1,True
2024-01-15,2024,2024-01,January,15,Monday,Q1,False
2024-01-16,2024,2024-01,January,16,Tuesday,Q1,False
2024-01-17,2024,2024-01,January,17,Wednesday,Q1,False
2024-01-18,2024,2024-01,January,18,Thursday,Q1,False
2024-01-19,2024,2024-01,January,19,Friday,Q1,False
2024-01-20,2024,2024-01,January,20,Saturday,Q1,True
2024-01-21,2024,2024-01,January,21,Sunday,Q1,True
2024-01-22,2024,2024-01,January,22,Monday,Q1,False
2024-01-23,2024,2024-01,January,23,Tuesday,Q1,False
2024-01-24,2024,2024-01,January,24,Wednesday,Q1,False
2024-01-25,2024,2024-01,January,25,Thursday,Q1,False
2024-01-26,2024,2024-01,January,26,Friday,Q1,False
2024-01-27,2024,2024-01,January,27,Saturday,Q1,True
2024-01-28,2024,2024-01,January,28,Sunday,Q1,True
2024-01-29,2024,2024-01,January,29,Monday,Q1,False
2024-01-30,2024,2024-01,January,30,Tuesday,Q1,False
2024-01-31,2024,2024-01,January,31,Wednesday,Q1,False
2024-02-01,2024,2024-02,February,1,Thursday,Q1,False
2024-02-02,2024,2024-02,February,2,Friday,Q1,False
2024-02-03,2024,2024-02,February,3,Saturday,Q1,True
2024-02-04,2024,2024-02,February,4,Sunday,Q1,True
2024-02-05,2024,2024-02,February,5,Monday,Q1,False
2024-02-06,2024,2024-02,February,6,Tuesday,Q1,False
2024-02-07,2024,2024-02,February,7,Wednesday,Q1,False
2024-02-08,2024,2024-02,February,8,Thursday,Q1,False
2024-02-09,2024,2024-02,February,9,Friday,Q1,False
2024-02-10,2024,2024-02,February,10,Saturday,Q1,True
2024-02-11,2024,2024-02,February,11,Sunday,Q1,True
2024-02-12,2024,2024-02,February,12,Monday,Q1,False
2024-02-13,2024,2024-02,February,13,Tuesday,Q1,False
2024-02-14,2024,2024-02,February,14,Wednesday,Q1,False
2024-02-15,2024,2024-02,February,15,Thursday,Q1,False
2024-02-16,2024,2024-02,February,16,Friday,Q1,False
2024-02-17,2024,2024-02,February,17,Saturday,Q1,True
2024-02-18,2024,2024-02,February,18,Sunday,Q1,True
2024-02-19,2024,2024-02,February,19,Monday,Q1,False
2024-02-20,2024,2024-02,February,20,Tuesday,Q1,False
2024-02-21,2024,2024-02,February,21,Wednesday,Q1,False
2024-02-22,2024,2024-02,February,22,Thursday,Q1,False
2024-02-23,2024,2024-02,February,23,Friday,Q1,False
2024-02-24,2024,2024-02,February,24,Saturday,Q1,True
2024-02-25,2024,2024-02,February,25,Sunday,Q1,True
2024-02-26,2024,2024-02,February,26,Monday,Q1,False
2024-02-27,2024,2024-02,February,27,Tuesday,Q1,False
2024-02-28,2024,2024-02,February,28,Wednesday,Q1,False
2024-02-29,2024,2024-02,February,29,Thursday,Q1,False
2024-03-01,2024,2024-03,March,1,Friday,Q1,False
2024-03-02,2024,2024-03,March,2,Saturday,Q1,True
2024-03-03,2024,2024-03,March,3,Sunday,Q1,True
2024-03-04,2024,2024-03,March,4,Monday,Q1,False
2024-03-05,2024,2024-03,March,5,Tuesday,Q1,False
2024-03-06,2024,2024-03,March,6,Wednesday,Q1,False
2024-03-07,2024,2024-03,March,7,Thursday,Q1,False
2024-03-08,2024,2024-03,March,8,Friday,Q1,False
2024-03-09,2024,2024-03,March,9,Saturday,Q1,True
2024-03-10,2024,2024-03,March,10,Sunday,Q1,True
2024-03-11,2024,2024-03,March,11,Monday,Q1,False
2024-03-12,2024,2024-03,March,12,Tuesday,Q1,False
2024-03-13,2024,2024-03,March,13,Wednesday,Q1,False
2024-03-14,2024,2024-03,March,14,Thursday,Q1,False
2024-03-15,2024,2024-03,March,15,Friday,Q1,False
2024-03-16,2024,2024-03,March,16,Saturday,Q1,True
2024-03-17,2024,2024-03,March,17,Sunday,Q1,True
2024-03-18,2024,2024-03,March,18,Monday,Q1,False
2024-03-19,2024,2024-03,March,19,Tuesday,Q1,False
2024-03-20,2024,2024-03,March,20,Wednesday,Q1,False
2024-03-21,2024,2024-03,March,21,Thursday,Q1,False
2024-03-22,2024,2024-03,March,22,Friday,Q1,False
2024-03-23,2024,2024-03,March,23,Saturday,Q1,True
2024-03-24,2024,2024-03,March,24,Sunday,Q1,True
2024-03-25,2024,2024-03,March,25,Monday,Q1,False
2024-03-26,2024,2024-03,March,26,Tuesday,Q1,False
2024-03-27,2024,2024-03,March,27,Wednesday,Q1,False
2024-03-28,2024,2024-03,March,28,Thursday,Q1,False
2024-03-29,2024,2024-03,March,29,Friday,Q1,False
2024-03-30,2024,2024-03,March,30,Saturday,Q1,True
2024-03-31,2024,2024-03,March,31,Sunday,Q1,True
2024-04-01,2024,2024-04,April,1,Monday,Q2,False
2024-04-02,2024,2024-04,April,2,Tuesday,Q2,False
2024-04-03,2024,2024-04,April,3,Wednesday,Q2,False
2024-04-04,2024,2024-04,April,4,Thursday,Q2,False
2024-04-05,2024,2024-04,April,5,Friday,Q2,False
2024-04-06,2024,2024-04,April,6,Saturday,Q2,True
2024-04-07,2024,2024-04,April,7,Sunday,Q2,True
2024-04-08,2024,2024-04,April,8,Monday,Q2,False
